名称,地址,电话,评分,评论数,价格区间,封面图片链接,纬度,经度,是否营业中,品类,Yelp链接,城市,街区/街道,街道,区块,行政区,邮编,营业时间
Le Majestique,"4105 Boulevard Saint-Laurent, Montreal, QC H2W 1Y7, Canada",+1 514-439-1850,4.4,220,$$,https://s3-media2.fl.yelpcdn.com/bphoto/c01JJXh3AF7wJ_SZ7fadVw/o.jpg,45.5175436,-73.5802618,True,"Bars, Canadian (New)",https://www.yelp.com/biz/le-majestique-montr%C3%A9al-2?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"4105 Boulevard Saint-Laurent, Montreal, QC H2W 1Y7, Canada",Boulevard Saint-Laurent,Le Plateau-Mont-Royal,Montréal,H2W 1Y7,周一：16:00 - 03:00 | 周二：16:00 - 03:00 | 周三：16:00 - 03:00 | 周四：16:00 - 03:00 | 周五：16:00 - 03:00 | 周六：16:00 - 03:00 | 周日：16:00 - 03:00
Monarque,"406 Rue Saint-Jacques, Montreal, QC H2Y 1S1, Canada",+1 514-875-3896,4.5,230,$$$,https://s3-media2.fl.yelpcdn.com/bphoto/dxt1xCmsCGmt0_Vt-40y6Q/o.jpg,45.50158,-73.55962,True,Brasseries,https://www.yelp.com/biz/monarque-montr%C3%A9al?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"406 Rue Saint-Jacques, Montreal, QC H2Y 1S1, Canada",Rue Notre-Dame Ouest,Ville-Marie,Montréal,H3C 0S5,周一：11:30 - 00:00 | 周二：11:30 - 00:00 | 周三：11:30 - 00:00 | 周四：11:30 - 00:00 | 周五：11:30 - 00:00 | 周六：17:00 - 00:00 | 周日：17:00 - 00:00
L'Avenue,"922 Avenue du Mont-Royal E, Montreal, QC H2J 1X2, Canada",+1 514-523-8780,4.5,1326,$$,https://s3-media4.fl.yelpcdn.com/bphoto/DuiajkKmEjCCGPq2VmwOqw/o.jpg,45.5266781712886,-73.5802391312828,True,Breakfast & Brunch,https://www.yelp.com/biz/l-avenue-montr%C3%A9al?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"922 Avenue du Mont-Royal E, Montreal, QC H2J 1X2, Canada",Avenue du Mont-Royal Est,Le Plateau-Mont-Royal,Montréal,H2J 1X2,周一：08:00 - 16:00 | 周二：08:00 - 16:00 | 周三：08:00 - 16:00 | 周四：08:00 - 16:00 | 周五：08:00 - 16:00 | 周六：08:00 - 16:00 | 周日：08:00 - 16:00
Bar George,"1440 Rue Drummond, Montreal, QC H3G 1V9, Canada",+1 514-669-9243,4.3,282,$$,https://s3-media4.fl.yelpcdn.com/bphoto/dQvEd0hdvQXQ-5KyooTuKQ/o.jpg,45.49914524060438,-73.575678,True,"British, Breakfast & Brunch, Bars",https://www.yelp.com/biz/bar-george-montr%C3%A9al?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"1440 Rue Drummond, Montreal, QC H3G 1V9, Canada",Rue Drummond,Ville-Marie,Montréal,H3G 1V9,周一：07:00 - 00:00 | 周二：07:00 - 00:00 | 周三：07:00 - 00:00 | 周四：07:00 - 01:00 | 周五：07:00 - 03:00 | 周六：08:00 - 03:00 | 周日：08:00 - 00:00
L'Express,"3927 Rue Saint-Denis, Montreal, QC H2W 2M4, Canada",+1 514-845-5333,4.3,733,$$$,https://s3-media1.fl.yelpcdn.com/bphoto/h97uT7tFmsCu_mt80dO0Kw/o.jpg,45.52032,-73.57437,True,French,https://www.yelp.com/biz/l-express-montr%C3%A9al-2?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"3927 Rue Saint-Denis, Montreal, QC H2W 2M4, Canada",Rue Saint-Denis,Le Plateau-Mont-Royal,Montréal,H2W 2M4,周一：11:30 - 02:00 | 周二：11:30 - 02:00 | 周三：11:30 - 02:00 | 周四：11:30 - 02:00 | 周五：11:30 - 02:00 | 周六：11:30 - 02:00 | 周日：11:30 - 02:00
La Banquise,"994 Rue Rachel E, Montreal, QC H2J 2J3, Canada",+1 514-525-2415,4.0,2383,$$,https://s3-media4.fl.yelpcdn.com/bphoto/82UgjL1__Yn5tWOofKe-Gg/o.jpg,45.525354,-73.574769,True,Poutineries,https://www.yelp.com/biz/la-banquise-montr%C3%A9al-2?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"994 Rue Rachel E, Montreal, QC H2J 2J3, Canada",Rachel Street East,Le Plateau-Mont-Royal,Montreal,H2J 2J3,周一：11:00 - 01:00 | 周二：11:00 - 01:00 | 周三：11:00 - 01:00 | 周四：11:00 - 01:00 | 周五：11:00 - 01:00 | 周六：11:00 - 01:00 | 周日：11:00 - 01:00
Damas,"1201 Avenue Van Horne, Montreal, QC H2V 1K4, Canada",+1 514-439-5435,4.7,475,$$$,https://s3-media4.fl.yelpcdn.com/bphoto/bLKI6E_LQwbDrHs2oYjVVQ/o.jpg,45.52258,-73.61344,True,Syrian,https://www.yelp.com/biz/damas-montr%C3%A9al?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"1201 Avenue Van Horne, Montreal, QC H2V 1K4, Canada",Avenue Bloomfield,Outremont,Montréal,H2V 3S6,周三：17:30 - 22:00 | 周四：17:30 - 22:00 | 周五：17:30 - 22:00 | 周六：17:30 - 22:00 | 周日：17:30 - 22:00
Poutineville,"1365 Rue Ontario E, Montreal, QC H2L 1S1, Canada",+1 514-419-5444,4.3,649,$$,https://s3-media1.fl.yelpcdn.com/bphoto/QOKwiufOAeSHaLo_TUGZww/o.jpg,45.523205,-73.5613,True,Poutineries,https://www.yelp.com/biz/poutineville-montr%C3%A9al-3?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"1365 Rue Ontario E, Montreal, QC H2L 1S1, Canada",Rue Ontario Est,Ville-Marie,Montréal,H2L 1S2,周一：11:00 - 23:00 | 周二：11:00 - 23:00 | 周三：11:00 - 23:00 | 周四：11:00 - 01:00 | 周五：11:00 - 05:00 | 周六：11:00 - 05:00 | 周日：11:00 - 23:00
Schwartz's,"3895 Boulevard Saint-Laurent, Montreal, QC H2W 1X9, Canada",+1 514-842-4813,4.1,3430,$$,https://s3-media4.fl.yelpcdn.com/bphoto/i40A7zihCwhEOBn_fqKLjw/o.jpg,45.516353,-73.577642,True,"Delis, Sandwiches",https://www.yelp.com/biz/schwartzs-montr%C3%A9al-4?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"3895 Boulevard Saint-Laurent, Montreal, QC H2W 1X9, Canada",Boulevard Saint-Laurent,Le Plateau-Mont-Royal,Montréal,H2W 1Y3,周一：10:00 - 23:00 | 周二：10:00 - 23:00 | 周三：10:00 - 23:00 | 周四：10:00 - 23:00 | 周五：10:00 - 00:00 | 周六：10:00 - 00:00 | 周日：10:00 - 23:00
Joe Beef,"2491 Rue Notre-Dame Ouest, Montreal, QC H3J 1N6, Canada",+1 514-935-6504,4.3,845,$$$,https://s3-media3.fl.yelpcdn.com/bphoto/vuApa_mHafFqQscFg00mrQ/o.jpg,45.483062,-73.575308,True,"Seafood, Steakhouses",https://www.yelp.com/biz/joe-beef-montr%C3%A9al-2?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"2491 Rue Notre-Dame Ouest, Montreal, QC H3J 1N6, Canada",Rue Notre-Dame Ouest,Le Sud-Ouest,Montréal,H3J 1N6,周二：17:30 - 22:30 | 周三：17:30 - 22:30 | 周四：17:30 - 22:30 | 周五：17:30 - 22:30 | 周六：17:30 - 22:30
